,release_date,name,url,xml_url,status,description
0,2020-05-06,Traffic Director,https://cloud.google.com/traffic-director/docs/release-notes,https://cloud.google.com/feeds/trafficdirector-release-notes.xml,Feature,"Feature
A new document is added to Traffic Director: Ingress traffic for your mesh."
1,2020-05-06,Traffic Director,https://cloud.google.com/traffic-director/docs/release-notes,https://cloud.google.com/feeds/trafficdirector-release-notes.xml,Feature,"Feature
A new document is added to Traffic Director: Ingress traffic for your mesh."
2,2020-05-05,Dialogflow,https://cloud.google.com/dialogflow/docs/release-notes,https://cloud.google.com/feeds/dialogflow-release-notes.xml,Feature,"Feature
GA (general availability) launch of auto speech adaptation."
3,2020-05-04,Cloud SQL for MySQL,https://cloud.google.com/sql/docs/mysql/release-notes,https://cloud.google.com/feeds/cloud-sql-mysql-release-notes.xml,Deprecated,"Deprecated
As previously announced, Cloud SQL First Generation was deprecated on January 29, 2019. All First Generation instances have been migrated to Second Generation. In the documentation and in the Google Cloud Console, ""MySQL Second Generation instances"" are now referred to simply as ""MySQL instances."" For general information about this deprecation, see the existing deprecation notice."
4,2020-05-04,Cloud Data Loss Prevention,https://cloud.google.com/dlp/docs/release-notes,https://cloud.google.com/feeds/dlp-release-notes.xml,Changed,"Changed
We have made quality and performance enhancements to our name detectors. PERSON_NAME should be used in most scenarios as it will return the most comprehensive finding. MALE_NAME and FEMALE_NAME are now synonymous with FIRST_NAME with 
Likelihood now never being greater than POSSIBLE. These changes will be rolled out over the coming days."
5,2020-05-04,Google Kubernetes Engine (GKE),https://cloud.google.com/kubernetes-engine/docs/release-notes,https://cloud.google.com/feeds/kubernetes-engine-release-notes.xml,Version updates,"Version updatesGKE cluster versions have been updated.New versions available for upgrades and new clustersThe following Kubernetes versions are now available for new clusters and for opt-in master upgrades and node upgrades for existing clusters. See these instructions for more information on the Kubernetes versioning scheme.
No channelNote: Your clusters might not have these versions available. Rollouts begin on the day of the note and take four or more business days to be completed across all Google Cloud zones. For more information, see the Rollout schedule.

1.15.11-gke.12 is now available.

Stable channel
There are no new releases in the Stable release channel.
Regular channel
There are no new releases in the Regular release channel.
Rapid channel
There are no new releases in the Rapid release channel.
Node image changesGKE 1.16Changed
The Ubuntu image for GKE 1.16 clusters is now ubuntu-gke-1804-1-16-v20200330.Changed
The COS image for GKE 1.16 clusters is now cos-77-12371-227-0.GKE 1.17Changed
The COS image for GKE 1.17 clusters is now cos-81-12871-69-0.etcd default version changesThe default etcd version for new GKE 1.13 and 1.14 clusters is etcd 3.2.27-0-gke.6
The default etcd version for new GKE 1.15 and 1.16 clusters is etcd 3.3.18-0-gke.4
The default etcd version for new GKE 1.17 and higher clusters is etcd 3.4.7-0-gke.1Autoupgrades in existing clusters will occur at a later date.Coming soonWe expect the following changes in the coming weeks. This information is not a guarantee, but is provided to help you plan for upcoming changes.Google Kubernetes Engine will gradually upgrade clusters in the regular channel to GKE 1.16 beginning in an upcoming release. Read more about API deprecations in 1.16, see Kubernetes 1.16 deprecated APIs."
6,2020-05-04,Dialogflow,https://cloud.google.com/dialogflow/docs/release-notes,https://cloud.google.com/feeds/dialogflow-release-notes.xml,Changed,"Changed
The shutdown of 7 integrations announced in January is now extended to June 6th, 2020."
7,2020-05-01,Text-to-Speech,https://cloud.google.com/text-to-speech/docs/release-notes,https://cloud.google.com/feeds/tts-release-notes.xml,Feature,"Feature
Cloud Text-to-Speech now offers 36 new voices (both Standard and WaveNet) in the following languages. See the Supported Voices and Languages page for complete details.

Arabic
Bengali (India)
English (India)
French (France)
German (Germany)
Gujarati (India)
Hindi (India)
Indonesian (Indonesia)
Kannada (India)
Malayalam (India)
Mandarin Chinese
Russian (Russia)
Tamil (India)
Telugu (India)
Thai (Thailand)
"
8,2020-05-01,BigQuery,https://cloud.google.com/bigquery/docs/release-notes,https://cloud.google.com/feeds/bigquery-release-notes.xml,Feature,"Feature
A new function, JSON_EXTRACT_ARRAY, has been added to the list of JSON functions. This function allows you to extract the contents of a JSON document as a string array. For more information, see the JSON_EXTRACT_ARRAY reference section.
Feature
The ORDER BY clause now supports the NULLS FIRST and NULLS LAST clauses. These clauses allow you to specify the sort order of null and non-null values. For more information, see the ORDER BY reference section."
9,2020-05-01,Cloud CDN,https://cloud.google.com/cdn/docs/release-notes,https://cloud.google.com/feeds/cloudcdn-release-notes.xml,Changed,"Changed
Added a new Features page that summarizes all Cloud CDN capabilities."
10,2020-05-01,Cloud Dataproc,https://cloud.google.com/dataproc/docs/release-notes,https://cloud.google.com/feeds/dataproc-release-notes.xml,Feature,"Feature
Announcing the Beta release of Dataproc Component Gateway, which provides secure access to web endpoints for Dataproc default and optional components."
11,2020-04-30,Data Catalog,https://cloud.google.com/data-catalog/docs/release-notes,https://cloud.google.com/feeds/data-catalog-release-notes.xml,Feature,"v1
Feature
Data Catalog is now generally available (GA).
- The Data Catalog v1 API, gcloud commands, and UI are now available. For details, see the API reference. Code samples throughout the documentation have been updated to use the new API.
-  Data Catalog has been regionalized, and now hosts user metadata in 23 regions worldwide.
- Billing has been enabled for Data Catalog API calls and storage using all supported resources. For more info, see the pricing page."
12,2020-04-30,Compute Engine,https://cloud.google.com/compute/docs/release-notes,https://cloud.google.com/feeds/compute-release-notes.xml,Feature,"Feature
You can now suspend and resume VM instances, available in Beta. Learn more about Suspending and Resuming an Instance. 
Changed
SSD persistent disks now have increased write throughput limits on instances with 1 to 15 vCPUs. This improvement applies to SSD persistent disks on all machine types except C2 machine types. To learn more about the requirements to reach these limits, see Block storage performance."
13,2020-04-30,Config Connector,https://cloud.google.com/config-connector/docs/release-notes,https://cloud.google.com/feeds/configconnector-release-notes.xml,Changed,"Changed
Fixes for the examples for the following resources: CloudBuildTrigger, AccessContextManager, ComputeDisk, and ComputeSubNetwork
Changed
Reduced memory requirements for deletion defender, recorder, and webhook.
Reduced cpu requirements for recorder and webhook
Increased CPU for the manager controller from 100m to 200m.
Changed
Ensure the webhook process does not signal it is ready until it is serving HTTP traffic"
14,2020-04-30,Dialogflow,https://cloud.google.com/dialogflow/docs/release-notes,https://cloud.google.com/feeds/dialogflow-release-notes.xml,Feature,"Feature
Beta launch of a one-click integration with a new telephony partner:

Avaya
"
15,2020-04-30,Cloud GPUs,https://cloud.google.com/compute/docs/release-notes,https://cloud.google.com/feeds/compute-release-notes.xml,Feature,"Feature
You can now suspend and resume VM instances, available in Beta. Learn more about Suspending and Resuming an Instance. 
Changed
SSD persistent disks now have increased write throughput limits on instances with 1 to 15 vCPUs. This improvement applies to SSD persistent disks on all machine types except C2 machine types. To learn more about the requirements to reach these limits, see Block storage performance."
16,2020-04-30,BigQuery Data Transfer Service,https://cloud.google.com/bigquery-transfer/docs/release-notes,https://cloud.google.com/feeds/bigquerydatatransfer-release-notes.xml,Changed,"Changed
BigQuery Data Transfer Service is now available in the Taiwan (asia-east1) region."
17,2020-04-30,Cloud GPUs,https://cloud.google.com/compute/docs/release-notes,https://cloud.google.com/feeds/compute-release-notes.xml,Feature,"Feature
You can now suspend and resume VM instances, available in Beta. Learn more about Suspending and Resuming an Instance. 
Changed
SSD persistent disks now have increased write throughput limits on instances with 1 to 15 vCPUs. This improvement applies to SSD persistent disks on all machine types except C2 machine types. To learn more about the requirements to reach these limits, see Block storage performance."
18,2020-04-30,BigQuery,https://cloud.google.com/bigquery/docs/release-notes,https://cloud.google.com/feeds/bigquery-release-notes.xml,Changed,"Changed
The BigQuery Data Transfer Service is now available in the Taiwan (asia-east1) region."
19,2020-04-29,Google Kubernetes Engine (GKE),https://cloud.google.com/kubernetes-engine/docs/release-notes,https://cloud.google.com/feeds/kubernetes-engine-release-notes.xml,New features,"New featuresFeature
Ingress for Anthos is now Generally Available (GA) for all GKE versions 1.14 and up. Ingress for Anthos provides a Kubernetes-native interface to deploy Ingress resources for internet traffic across multiple clusters and multiple regions.
Ingress is helpful for use cases including:
A global and stable anycast VIP, independent of cluster backends.
Multi-regional and multi-cluster high availability.
Low latency serving of traffic to the closest cluster.
Intelligent and safe traffic management across many clusters."
20,2020-04-29,AI Platform,https://cloud.google.com/ai-platform/docs/release-notes,https://cloud.google.com/feeds/aiplatform-release-notes.xml,Feature,"AI Platform Prediction
Feature
AI Platform Prediction now supports several regional endpoints for online prediction. Regional endpoints provide additional protection against outages in other regions by isolating your model and version resources from other regions. The following regional endpoints are available in beta:

us-central1-ml.googleapis.com
europe-west4-ml.googleapis.com
asia-east1-ml.googleapis.com

You can use these endpoints instead of the global endpoint, ml.googleapis.com, when you use AI Platform Prediction for online prediction. Learn how to use regional endpoints for online prediction, and read about their benefits and limitations.
Feature
You can now deploy scikit-learn and XGBoost models for online prediction using  Compute Engine (N1) machine types. Previously, you could only deploy TensorFlow models when you used these machine types. Learn more about ML framework support for Compute Engine (N1) machine types.
You cannot use GPUs with scikit-learn or XGBoost models, and you can only use scikit-learn and XGBoost models with Compute Engine (N1) machine types when you deploy your models and versions to a  regional endpoint.
Compute Engine (N1) machine types for online prediction remain available in the beta launch stage.
Feature
The europe-west4 (Netherlands) and asia-east1 (Taiwan) regions are now available for online prediction. These regions are only available for online prediction on their respective regional endpoints, and you can only use Compute Engine (N1) machine types for online prediction in these regions.
When you deploy model versions in the europe-west4 region, you can optionally use NVIDIA Tesla P4,  NVIDIA Tesla T4, or NVIDIA Tesla V100 GPUs to accelerate prediction.
When you deploy model versions in the asia-east1 region, you can optionally use NVIDIA Tesla K80 or NVIDIA Tesla P100 GPUs to accelerate prediction.
Learn more about using GPUs for online prediction, and see which GPUs are available in which regions.
Learn about the pricing for the newly available regions and GPU resources.
Changed
We recommend against using Compute Engine (N1) machine types on the AI Platform Prediction global endpoint. Instead, only use Compute Engine (N1) machine types when you deploy models and versions to a regional endpoint.
Model versions that use Compute Engine (N1) machine types and were previously deployed to the us-central1 region on the global endpoint will continue to function."
21,2020-04-29,Virtual Private Cloud (VPC),https://cloud.google.com/vpc/docs/release-notes,https://cloud.google.com/feeds/vpc-release-notes.xml,Changed,"Changed
Google Cloud now encrypts VPC traffic within the boundaries of the data centers in asia-east2. We will roll out this feature gradually to other regions. Google Cloud already encrypts VPC traffic between all data centers as described in Encryption in Transit in Google Cloud."
22,2020-04-29,AI Platform Prediction,https://cloud.google.com/ai-platform/prediction/docs/release-notes,https://cloud.google.com/feeds/ai-platform-prediction-release-notes.xml,Feature,"Feature
AI Platform Prediction now supports several regional endpoints for online prediction. Regional endpoints provide additional protection against outages in other regions by isolating your model and version resources from other regions. The following regional endpoints are available in beta:

us-central1-ml.googleapis.com
europe-west4-ml.googleapis.com
asia-east1-ml.googleapis.com

You can use these endpoints instead of the global endpoint, ml.googleapis.com, when you use AI Platform Prediction for online prediction. Learn how to use regional endpoints for online prediction, and read about their benefits and limitations.
Feature
You can now deploy scikit-learn and XGBoost models for online prediction using  Compute Engine (N1) machine types. Previously, you could only deploy TensorFlow models when you used these machine types. Learn more about ML framework support for Compute Engine (N1) machine types.
You cannot use GPUs with scikit-learn or XGBoost models, and you can only use scikit-learn and XGBoost models with Compute Engine (N1) machine types when you deploy your models and versions to a  regional endpoint.
Compute Engine (N1) machine types for online prediction remain available in the beta launch stage.
Feature
The europe-west4 (Netherlands) and asia-east1 (Taiwan) regions are now available for online prediction. These regions are only available for online prediction on their respective regional endpoints, and you can only use Compute Engine (N1) machine types for online prediction in these regions.
When you deploy model versions in the europe-west4 region, you can optionally use NVIDIA Tesla P4,  NVIDIA Tesla T4, or NVIDIA Tesla V100 GPUs to accelerate prediction.
When you deploy model versions in the asia-east1 region, you can optionally use NVIDIA Tesla K80 or NVIDIA Tesla P100 GPUs to accelerate prediction.
Learn more about using GPUs for online prediction, and see which GPUs are available in which regions.
Learn about the pricing for the newly available regions and GPU resources.
Changed
We recommend against using Compute Engine (N1) machine types on the AI Platform Prediction global endpoint. Instead, only use Compute Engine (N1) machine types when you deploy models and versions to a regional endpoint.
Model versions that use Compute Engine (N1) machine types and were previously deployed to the us-central1 region on the global endpoint will continue to function."
23,2020-04-28,Error Reporting,https://cloud.google.com/error-reporting/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml,Deprecated,"Cloud Monitoring
Deprecated
The 5.x version of the Cloud Monitoring agent for Linux is deprecated. Users are encouraged to upgrade their agents as soon as possible.
Deprecated
The stack-install.sh and the  install-monitoring-agent.sh installation scripts for the Cloud Monitoring agent for Linux are deprecated. Refer to the Installing the Cloud Monitoring agent guide for the latest installation procedures."
24,2020-04-28,Cloud Debugger,https://cloud.google.com/debugger/docs/release-notes,https://cloud.google.com/feeds/stackdriver-release-notes.xml,Deprecated,"Cloud Monitoring
Deprecated
The 5.x version of the Cloud Monitoring agent for Linux is deprecated. Users are encouraged to upgrade their agents as soon as possible.
Deprecated
The stack-install.sh and the  install-monitoring-agent.sh installation scripts for the Cloud Monitoring agent for Linux are deprecated. Refer to the Installing the Cloud Monitoring agent guide for the latest installation procedures."
